time,ax,ay,az,aT
8.2300,3.7685,-7.1299,-6.4835,10.348
8.2960,3.8451,-4.8746,-4.5777,7.714
8.3630,3.6536,-0.9002,1.6759,4.119
8.4300,-2.6815,8.3845,16.6158,18.804
8.5030,-6.5649,3.1173,4.1707,8.379
8.5620,-1.6568,-3.5434,-2.7390,4.775
8.6280,1.1588,-6.2680,-5.3822,8.343
8.6940,1.8292,-6.0190,-5.7461,8.520
8.7610,-0.2203,-2.2458,-2.0351,3.039
8.8270,-7.1587,8.3366,11.3389,15.790
8.8940,-0.0910,5.0230,5.2194,7.244
8.9600,7.5705,-3.2753,-2.4038,8.592
9.0560,6.7181,-5.4013,-5.3870,10.165
9.0970,4.0893,-5.1715,-4.7022,8.098
9.2070,-2.4229,1.9345,1.9632,3.670
9.2250,-7.2305,10.6063,16.0507,20.552
9.2920,-2.4517,0.2825,0.2394,2.479
9.3590,2.1787,-6.2010,-3.5913,7.490
9.4520,3.1077,-8.1690,-5.5067,10.330
9.4950,3.2609,-6.2728,-5.1858,8.768
9.5780,1.4317,-0.8045,-0.1676,1.651
9.6230,-3.5769,8.4563,11.0660,14.379
9.6900,-4.2186,7.9009,9.5768,13.112
9.7570,1.1636,-1.1684,-1.4748,2.212
9.8270,4.0701,-5.8993,-5.3199,8.926
9.8950,4.4580,-6.9719,-6.2824,10.390
9.9990,4.4197,-4.0031,-3.5674,6.949
10.0210,2.2841,2.1548,4.2090,5.251
10.0870,-4.7357,9.5672,17.0707,20.134
10.1560,-4.8219,0.8715,1.1875,5.042
10.2230,-0.4645,-4.5729,-4.0223,6.108
10.2870,0.8859,-6.2010,-5.1571,8.114
10.3900,2.1452,-5.6264,-5.6503,8.257
10.4190,-1.7238,-0.6464,-0.5507,1.922
10.4860,-5.5593,8.4755,12.0572,15.752
10.5520,0.1245,4.2329,3.2992,5.368
10.6470,6.3063,-2.4517,-1.9824,7.051
10.6860,7.4364,-5.3870,-4.2521,10.119
10.7980,4.7405,-5.0326,-4.4676,8.232
10.8170,1.4988,-0.2251,1.9106,2.439
10.8830,-5.9759,9.3565,12.1530,16.461
10.9500,-4.7884,3.6009,5.3630,8.041
11.0290,0.2777,-3.2130,-2.2936,3.957
11.0820,1.8962,-6.4739,-5.0518,8.428
11.1490,1.5467,-5.8514,-6.0717,8.573
11.2150,1.0726,-3.8403,-5.0661,6.447
11.2820,-1.3408,3.6200,4.6687,6.058
11.3690,-1.4413,7.8626,15.4187,17.368
11.4190,0.8954,1.6041,2.2601,2.913
11.5490,2.2122,-3.3710,-3.0598,5.062
11.5550,2.6576,-6.1531,-5.9616,8.970
11.6130,2.7964,-6.2106,-6.9959,9.764
11.7190,2.9449,-2.5283,-2.2889,4.506
11.7460,1.7621,7.5896,15.6150,17.451
11.8330,-1.5036,5.4157,9.0405,10.645
11.8780,-2.1644,-2.1356,-1.4988,3.390
11.9440,-1.5275,-7.3167,-5.5306,9.298
12.0120,0.2634,-6.5362,-6.4021,9.153
12.0770,-0.5267,-4.3527,-4.3144,6.151
12.1660,-5.1571,3.8786,5.5976,8.542
12.2110,-3.7445,9.0405,13.6565,16.800
12.3060,3.6440,0.0766,1.7861,4.059
12.3440,7.3502,-5.0949,-2.9209,9.408
12.4380,6.8953,-6.4596,-5.1571,10.764
12.4750,2.8635,-3.1603,-2.8730,5.142
12.5770,-2.4852,5.7269,7.4029,9.684
12.6080,-5.1236,9.0357,11.0229,15.146
12.6770,-0.9912,-0.3639,1.0008,1.455
12.7440,1.9058,-6.9192,-3.6200,8.038
12.8070,2.7198,-8.1499,-4.8123,9.848
12.8750,2.2649,-6.4260,-5.3678,8.674
12.9400,0.6416,-0.9912,-1.8675,2.209
13.0110,-3.9744,10.1179,11.0947,15.533
13.0720,-1.3551,8.2025,10.1370,13.110
13.1400,2.1356,-2.1691,-2.1165,3.708
13.2050,3.9935,-6.9576,-5.0135,9.460
13.3040,3.9313,-7.1826,-5.5593,9.897
13.3490,3.2178,-3.9361,-3.2992,6.061
13.4620,1.4222,3.3471,2.1644,4.232
13.4720,-4.9081,11.0133,17.0850,20.911
13.5370,-2.8778,1.1971,2.2793,3.861
13.6050,0.7422,-5.7652,-4.0510,7.085
13.6690,1.3360,-8.2791,-5.3056,9.924
13.7530,1.2163,-6.6798,-5.5976,8.800
13.8020,-3.0358,-0.5986,-1.3024,3.357
13.8940,-8.9543,11.0564,10.9702,17.966
13.9360,-0.0383,4.9991,4.9177,7.013
14.0600,8.8107,-2.3798,-1.8196,9.306
14.0670,8.4898,-5.6886,-3.9600,10.960
14.2130,4.8602,-5.2672,-2.7102,7.662
14.2200,-1.4653,1.1540,1.9537,2.701
14.3030,-6.2201,11.1330,12.8569,18.109
14.3440,-3.3902,2.9880,2.8156,5.324
14.4360,1.4269,-4.1755,-3.0550,5.367
14.4770,3.0550,-7.5465,-4.9895,9.549
14.5810,2.6671,-5.5833,-3.7972,7.260
14.6000,2.0638,-2.0111,-1.5467,3.270
14.7220,-1.6951,4.8171,2.8874,5.866
14.7320,-5.0374,10.3094,13.9726,18.080
14.8080,0.7374,1.5993,1.6233,2.395
14.8840,4.7501,-4.2952,-3.9887,7.545
14.9300,4.9799,-6.5984,-5.0661,9.696
14.9980,3.8547,-5.0757,-3.5626,7.302
15.0810,2.7198,-0.4932,-0.6273,2.834
15.1840,-2.5235,7.2161,14.5807,16.463
15.1970,-3.7828,3.5817,5.3103,7.439
15.2640,-0.7326,-1.5658,-2.4660,3.012
15.3280,1.1732,-5.1380,-5.5019,7.619
15.3930,1.7095,-4.7118,-6.2680,8.026
15.4600,0.0048,-1.9872,-2.8826,3.501
15.5270,-3.7110,5.3247,7.5130,9.928
15.5970,0.2873,6.6272,9.7588,11.800
15.6790,4.2617,-0.8667,-1.8292,4.718
15.7290,6.4931,-3.6775,-4.6352,8.785
15.8440,5.4300,-4.3862,-4.5825,8.350
15.8630,1.7382,-2.3798,-2.4708,3.846
15.9290,-1.1732,2.9975,4.7692,5.754
15.9970,-5.7174,7.7668,11.1043,14.708
16.0590,-2.1165,1.1396,2.1739,3.241
16.1660,1.8196,-3.7781,-3.8451,5.689
16.1910,3.2896,-5.2385,-5.6503,8.378
16.2570,2.8635,-4.4867,-5.3726,7.563
16.3240,1.5419,-1.8914,-2.0303,3.174
16.3900,-1.6759,4.5681,8.5952,9.877
16.4560,-1.6376,5.9233,8.5665,10.543
16.5230,0.5986,1.3743,-1.1684,1.901
16.5880,2.3750,-2.4229,-4.7166,5.810
16.6580,3.6009,-3.5674,-5.8849,7.767
16.7220,2.9784,-2.8252,-3.9217,5.677
16.8260,2.6480,1.2258,1.2115,3.159
16.8540,-2.0973,5.7892,12.4929,13.928
16.9200,-2.8491,1.5993,2.7725,4.285
16.9860,-0.6464,-1.7334,-3.4285,3.896
17.0520,0.7326,-3.2609,-4.3383,5.476
17.1190,1.4365,-3.5338,-4.0749,5.582
17.1870,0.1724,-1.0870,-1.8435,2.147
17.2530,-3.5051,5.7317,9.7109,11.808
17.3210,0.5267,4.3000,4.9799,6.601
17.3840,4.6783,-0.2442,-2.1979,5.175
17.4900,6.3207,-3.8116,-4.5107,8.650
17.5170,4.7884,-4.4819,-4.7549,8.101
17.5940,2.6288,-0.7566,-0.3591,2.759
17.6500,-4.0558,6.4021,7.0342,10.340
17.7160,-2.9928,5.9807,7.6854,10.188
17.7820,-0.2107,-0.9194,-0.5890,1.112
17.8490,1.6568,-4.3862,-3.0598,5.599
17.9210,2.2410,-5.3870,-5.3726,7.931
18.0260,2.4181,-4.7836,-5.2768,7.522
18.0480,0.8571,-0.0144,0.9864,1.307
18.1150,-2.1261,6.9623,9.9695,12.344
18.1840,-0.8523,5.0853,5.9855,7.900
18.2470,1.5467,-0.0383,-0.9673,1.825
18.3520,3.2322,-3.2657,-4.7453,6.605
18.3790,3.4716,-5.1906,-6.7325,9.183
